url,organizer,description,summary
https://program.arendalsuka.no/event/user-view/20017,"ArrangørFagpressen, Norsk Journalistlag, Landslaget for lokalaviser, Mediebedriftenes Landsforening, Norsk lokalradioforbund, Norsk Redaktørforening, Norsk Presseforbund","Dyrtid, tekgiganter og moms: Kan det norske mediemangfoldet overleve?","Om arrangementetUavhengige og sterke medier er en forutsetning for demokratiet. I en tid der kostnadene øker, inntektene svikter og eksisterende støtteordninger svekkes: Klarer vi å ta vare på det unike norske mediemangfoldet?Debatten avsluttes omlag kl 14.45 - deretter blir det mingling med lett servering, i de samme lokalene.Debattleder: Nicolai Delebekk, Faktisk.no"
https://program.arendalsuka.no/event/user-view/20019,ArrangørVelferdsalliansen EAPN Norway,"Arbeidslinja skal motivere til arbeid, men ikke være en fattigdomsfelle for de fattige!","Om arrangementetVi trenger en arbeidslinje og inkludering i arbeidsmarkedet som er tilpasset behovene til de svakeste i samfunnet, langt fra arbeidslivet.Opprinnelsen og viktigste ideen som fundament for arbeidslinjen i sosialpolitikken er at den hadde tatt hensyn til at velferdsytelsene skulle utformes for å få folk i arbeid i stedet for å leve av trygd eller sosialhjelp.Grunnlaget er knyttet til positive verdier som sosial inkludering, aktiv deltakelse, verdighet og selvrespekt, men hviler også på en hegemonisk diskurs der lønnet arbeid er den konstituerende faktoren og skaperen av normalitet i samfunnet.Utviklingen av  arbeidslinja  reiser noen dilemmaer.Hvert år arrangerer Velferdsalliansen EAPN Norway en eller flere fattigdomshøringer. Hovedformålet med dem er å lytte til mennesker som har opplevd eller opplever fattigdom og utenforskap, og sammen diskutere løsninger på problemstillingene de opplever."
https://program.arendalsuka.no/event/user-view/20022,ArrangørBattery Norway,Batterinasjonen Norge bygges nå,"Om arrangementetDen norske regjerningen lanserte i 2022 en nasjonal batteristrategi med 10 grep for at Norge skal bli et attraktivt vertsland for bærekraftig og lønnsom aktivitet i hele verdikjeden og tiltrekke oss de store gigafabrikkene.Nå, ett år senere, har mye skjedd på batterifronten både i Norge og i resten av verden. Battery Norway inviterer til en gjennomgang med næringsminister Jan Christian Vestre og flere sentrale aktører i den norske batteriverdikjeden som forteller om status og planer for sine prosjekter. Vi tar dessuten et blikk ut i verden for å høre om hva som foregår i det store batterikappløpet mellom Østen, Europa og USA.Medvirkende:Jan Christian Vestre, Næringsminister,Thore Sekkenes, European Battery Alliance,Lars Lysdahl, Rystad Energy,Kristin Skofteland, styreleder Battery Norway,Birger Steen, CEO (fra 21. august), Freyr,Lars Christian Backer, CEO, Morrow Batteries,Anders B. Bakken, CFO, Hydrovolt,Hans Erik Vatne, CEO (interim), Vianode"
https://program.arendalsuka.no/event/user-view/20023,ArrangørEyde-klyngen,Industri - er det noe for meg?,"Om arrangementetEyde-klyngeninviterer ungdomsskole- og videregåendeskoleelever til Arendalsuka Ung for å lære om prosessindustrien.Prosessindustrien er en viktig næring og arbeidsplass i regionen. Bedriftene våre er hjørnesteinsbedrifter i lokalsamfunn rundt på Agder.Materialene som produseres er nødvendige for at Norge og verden skal redusere sine utslipp og innfri det grønne skiftet.Prosessindustrien har et økende behov for flere dyktige og engasjerte ansatte fremover. Kompetanseområder som materialteknologi, prosesskjemi og automasjon på alle utdanningsnivå, fra lærling til mastergrad står sentralt.ProgramHva er prosessindustri? Helene Fladmark, Eyde-klyngenEt mini-panel med lærlinger og unge ansatte forteller hvordan det er å jobbe i industrien og om bakgrunnen deres. Panelet ledes av Anne K. Simonsen, NHO Agder. Panelet består av:Heidi V. Larsen, Morrow BatteriesAdrian Klingsheim, Glencore Nikkelverk.Lars Torkelsen, GE Health CareKaroline Bråten, ElkemPia Amalie Sundt, leder for bærekraft i Hennig Olsen Is skal på scenen. Kanskje det blir smaksprøver? :)Vi avslutter med loddtrekning og premieDette arrangementet krever påmelding på grunn av plassbegrensning til 100 personer innenfor inngjerdingen. Send koordinator Maria Moksness en e-post med antallet du melder på:maria.moksness@arendalsuka.no.Dette arrangementet er nå fullbooket.OBS: Det er god plass rundt inngjerdingen til mange flere - så ikke nøl med å ta turen til Torvet, selv om sitteplassene kan være opptatt.Velkommen til vårt arrangement!Nysgjerrig? Se et par filmer om veivalg her:Heidi valgte seg muligheter ved å ta TIF - YouTubeogTeodor (21) valgte laboratoriefag på VG2 - YouTube"
https://program.arendalsuka.no/event/user-view/20028,"ArrangørAmmehjelpen, Barselopprøret","Hvordan kan vi få en bedre svangerskaps-, fødsel- og barselomsorg  i Norge? Erfaringer fra brukerne.","Om arrangementetPå dette arrangementet vil Ammehjelpen og Barselopprøret sammen føre en samtale om hva som skal til for å få en svangerskaps-, fødsels- og barselomsorg som Norge kan være stolt av. Sammen skal vi se på hvordan brukermedvirkning har formet dagens svangerskaps-, fødsels- og barselomsorg og hvilken plass brukermedvirkning faktisk får i dag.Ammehjelpens og Barselopprørets tette bånd til gravide, fødende, barslende og ammende i Norge gir oss et unikt innblikk i hvilke utfordringer de fødende møter i svangerskaps-, fødsels- og barselomsorgen – utfordringer som sjeldent vies plass i den offentlige diskursen.Hvis Norge har som mål å ha verdens beste svangerskaps-, fødsels- og barselomsorg, er vi nødt til å lytte til brukerne og ta dem på alvor.Kom og lær hvordan vi kan få en bedre svangerskaps-, fødsels- og barselomsorg i Norge."
https://program.arendalsuka.no/event/user-view/20029,ArrangørNorges Bank Investment Management,Kan AI være ansvarlig?,"Om arrangementetKan AI være ansvarlig? I august lanserer Oljefondet sitt syn på hvordan AI kan utvikles ansvarlig. I kjølvannet av det, inviterer vi til debatt der teknologi møter ansvarlige hensyn. Vi bringer sammen et mangfold av eksperter for å avdekke, utfordre og debattere hvordan vi kan styre denne mektige teknologiens utvikling på en ansvarlig måte. Bli med oss for en engasjerende diskusjon."
https://program.arendalsuka.no/event/user-view/20032,ArrangørGjærevollsenteret/NTNU,Makta treng fakta,"Om arrangementetDebatt med:Forskere, politikere, kunstner og næringslivetDebattleder:Andreas Solberg WahlUnderholdning:Marte WullfFølg debatten live her:https://www.arendalsuka.no/live/baerekraftscenen/-----Dette blir en debatt omKUNNSKAP for en grønn og bærekraftig utvikling på naturens premisserKloden opplever et dramatisk og akselererende tap av naturmangfold. Arealendringer er hovedårsaken.Arealendringer kan være nødvendige for å bekjempe andre kriser, slik som utbygging av fornybar energi for å bremse klimaendringer. Samtidig er bevaring av naturen verdens beste klimatiltak.Når samfunnet skal møte utfordringene ved både klimakrisen og naturkrisen, kan løsningene være motstridende. Slike dilemmaer kan bare løses gjennom mer kunnskap og kompetanse. Kravene til dette vil øke kraftig de kommende årene, både i offentlig forvaltning og privat næringsliv."
https://program.arendalsuka.no/event/user-view/20039,ArrangørLikestillings-og diskrimineringsombudet,Blind rekruttering: Hva kan det gi oss?,"Om arrangementetHvordan ville arbeidslivet ha sett ut hvis rekruttering hadde skjedd som i The Voice? Svaret er trolig at arbeidssøkere hadde blitt vurdert annerledes enn i dag.Thomas Tvedt, som kom på andreplass i årets utgave av The Voice, er blind og har fått avslag på jobb etter jobb, selv om han har vært godt kvalifisert.Forskningen er helt tydelig: Jobbsøkere med funksjonsnedsettelser diskrimineres i ansettelsesprosesser.På dette arrangementet skal vi se nærmere på såkalt «blind rekruttering». Det betyr at trekk ved kandidaten som ikke er relevante for jobben, ikke gjøres kjent, eller gjøres kjent på et sent stadium i prosessen.Det virker rimelig at denne metoden kan redusere diskrimineringsrisiko i rekruttering. Er intervju «i blinde» veien å gå for å sikre at de beste kandidatene får jobben? Og hvordan kan man egentlig gjennomføre en god, blind rekruttering? Hvilke fallgruver finnes?"
https://program.arendalsuka.no/event/user-view/20041,ArrangørStiftelsen Dam,På tide å tette tapssluket i forskningen,"Om arrangementetHvert år kastes forskning verd milliarder av kroner ut av vinduet på grunn av selektiv rapportering av forskningsresultater. “Kjedelige” negative resultater blir aldri publisert, mens forskningen som faktisk når offentligheten alt for ofte er gjenstand for spinn for at resultatene skal bli mer interessante. Så mye som 85 prosent av forskningen i verden er bortkastet, ifølge forskerne Paul Glasziou og Iain Chalmers (The Lancet, 2009).Det gir et forvrengt bilde av kunnskapsstatus, med alvorlige konsekvenser. Forskning gjentas unødig, tilliten til publisert forskning synker, og testpersoner tar risiko til ingen nytte. Resultatet er at fremdriften i vitenskapen som helhet forsinkes.Norge er intet unntak. I 2021 ga Stiftelsen Dam uten rapportsom viste at ingen egentlig har oversikt over legemiddelforskningen som blir og har blitt gjennomført i Norge. Faktisk er vi på Europa-bunnen på registrering av resultater fra kliniske legemiddelstudier.Siden 2016 har Stiftelsen Dam drevet den norske avdelingen av AllTrials, en internasjonal kampanje for at all klinisk forskning skal registreres og publiseres. Dam mener at dagens systemer åpenbart ikke evner å demme opp for interessekonfliktene som fører til selektiv rapportering av forskning. Det trengs løsninger som sikrer god kvalitet og at alle studier tvinges til å rapportere sine faktiske resultater.En slik løsning er registrerte rapporter, som Stiftelsen Dam nå innfører som valgfri publiseringsform for forskere som får støtte gjennom stiftelsens forskningsprogram. Programsjef i Stiftelsen Dam, Jan-Ole Hesselberg, er initiativtaker til AllTrials Norway og skriver for tiden doktorgrad i beslutningspsykologi om kvalitetssikring av stiftelsens tildelinger. På dette arrangementet presenterer han publiseringsformen registrerte rapporter, og spør tidsskrift og beslutningstakere hvorfor det tar så lang tid å få til endring i Norge."
https://program.arendalsuka.no/event/user-view/20042,ArrangørNorsk Vann,Nødvendige investeringer i vann og avløp: Har kommunene og staten evnen og viljen?,"Om arrangementetNorsk Vann inviterer til debatt om utfordringsbildet knyttet til det enorme investeringsbehovet i den livsviktige vann- og avløpsinfrastrukturen.Tilbake i 2021 utga Norsk Vann en rapport som viste at investeringsbehovet i sektoren da ble dokumentert i til 332 milliarder kr, og det er tall som ikke har med seg nye krav om nitrogenfjerning i Oslofjorden og nytt Avløpsdirektiv fra EU som vedtas i 2024.Denne våren har flere representantforslag om vann og avløp vært til behandling, og til høsten skal  Stortinget behandle ytterlige tre om nasjonal handlingsplan, gebyrøkninger og benchmarking – hvordan stiller debattantene seg til forslagene?Vi vil komme inn på hvorfor bransjen mener at en nasjonal handlingsplan for avløp er viktig.Vi stiller spørsmålet om hvordan følger staten opp egne pålegg de forplikter kommunene på gjennom internasjonale avtaler, lover og forskrifter. Og er det evne og vilje i kommunene til å følge opp? Økte gebyrer til innbyggerne krever modige politikere, det er store regionale og lokale forskjeller og det bør satses på økt samarbeid om smarte, bærekraftige og innovative løsninger mellom kommunene.Kom og hør et bredt sammensatt panel snakke om disse utfordringene som er viktige for deg og meg og hele samfunnet."
https://program.arendalsuka.no/event/user-view/20043,"ArrangørVestfold og Telemark fylkeskommune, Viken fylkeskommune",Hvordan kan du bruke ungdomsråd?,"Om arrangementetVestfold og Telemark ungdomsråd og Ungdommens fylkesråd i Viken inviterer til en panelsamtale om hvordan du kan bruke ungdomsrådet.I panelsamtalen vil det være relevante politikere, embetsfolk og andre aktører som kan vise til hvordan de har brukt ungdomsrådet tidligere, og gi tips til hvordan du kan utnytte ressursen et ungdomsråd er.Enten du stiller til valg i år, eller jobber i en kommune, fylkeskommune, organisasjon, bedrift eller departement så tror vi at du vil tjene godt på å bruke ungdomsrådet aktivt i jobben din.I 2020 ble ungdomsrådet lovpålagt i alle kommuner og fylkeskommuner. Et ungdomsråd er et partipolitisk nøytralt råd sammensatt av ungdom som gir råd på vegne av ungdom til politikere og andre aktører for å sikre reell medvirkning.Selv om vi ikke enda har et nasjonalt ungdomsråd kan du som jobber i departementene fortsatt bruke ungdommer som sitter i et fylkeskommunalt ungdomsråd i arbeidet ditt.Om du ønsker å nå ut, eller få innspill fra unge, er ofte de fylkeskommunale ungdomsrådene tett påkoblet de lokale ungdomsrådene, elevråd og andre unge i fylket.Bruk oss, det har en nytte!"
https://program.arendalsuka.no/event/user-view/20044,ArrangørNorges Motorsportforbund,Motorsport i en større sammenheng,"Om arrangementetNorges Motorsportforbund inviterer deg til en engasjerende samtale under Arendalsuka hvor vi utforsker potensialet i motorsportens innovasjon og utvikling.I etterkant av programmet på scenen blir det enkel servering, mingling, mulighet til å ta en titt på det noe av det nyeste innen motorsportteknologi, og kjente motorsportutøvere vil dele sine tanker og erfaringer.Arrangementet begynner med en intro og deretter samtaler som ikke varer mer enn 45 minutter totalt. I etterkant av vil det bli enkel servering.Program:Introduksjon ved bærekraftsrådgiver Dag SkaugMotorsport i Arendal ved Nicolay Rylander (Arendal Båtsportklubb)Motorsporten før og nå ved Vilde Holt og Elias Ishoel m. fler.FIM E-XPLORER til Norge i 2024 ved Dag Skaug og Vilde HoltHøyspenning: Vi bygger verdens første hel-elektriske motorsportanleggSamtale om motorsportens plass i det moderne samfunnet ved Bjørn Skaar Ødegaard og Helge RudenHistorisk sett har motorsport alltid vært en viktig katalysator for utvikling.Fun fact: Det var faktisk briten Thomas Parker som i 1884 laget den første oppladbare elbilen. Som et resultat fikk han i oppdrag å elektrifisere London Underground, noe han fulførte i 1890."
https://program.arendalsuka.no/event/user-view/20045,ArrangørNorges Røde Kors,Glemt i eget hjem. Hvordan forebygger vi ensomhet blant eldre?,"Om arrangementetEnsomhet er et alvorlig humanitært problem, som rammer eldre hardt og som har stor innvirkning på livskvalitet og helse. De siste årene har vi sett en markant økning i antall eldre som blir sittende hjemme uten å ha noen å snakke med, og i en rapport fra Røde kors forteller 9 av 10 frivillige besøksvenner at de tror personen de besøker kjenner seg ensom. For mange er besøksvennen den eneste sosiale kontakten en har i løpet av uka.De neste 20 årene kommer antallet hjemmeboende eldre som bor alene til å doble seg, og mange kommuner opplever allerede store utfordringer knyttet til kapasitet i eldreomsorgen.Vi inviterer til samtale for å snakke om hvordan vi kan forhindre ensomhet blant eldre og sørge for at hjemmet ikke blir en enmannsinstitusjon helt uten sosial kontakt. Hvordan sikrer vi at eldre holdes i aktivitet og opplever meningsfulle dager med sosiale relasjoner og nettverk også i alderdommen?Medvirkende:Thor Inge Sveinsvoll, President Røde KorsEllen Benedikte Kasnes, Regissør bak en av NRK Brennpunkts mest omtalte dokumentarer «Omsorg bak lukkede dører»David Yttervik Seetiangtham, Hordaland Røde KorsRoger Ekeberg Henriksen, Førsteamanuensis ved Høgskulen på Vestlandet, forsker på ensomhet og sykepleier innen psykisk helseTove Elise Madland, Medlem helse- og omsorgskomiteen (AP)Erlend Svardal Bøe, Medlem helse- og omsorgskomiteen (H)Umar Ashraf, Ordstyrer"
https://program.arendalsuka.no/event/user-view/20046,ArrangørOrganisasjonen for barnevernsforeldre,Hvem tar i mot foreldre da de faller?,"Om arrangementetDebatt om hvordan foreldre blir fulgt opp av barnevernet i saker med omsorgsovertakelse. Foreldre med barn under barnevernets omsorg ligger høyt på mental uhelse og selvmordsstatistikker. Mange blir overlatt til seg selv. Ved dødsfall og alvorlig sykdom  står kristeam klart. Hvem tar i mot foreldrene som har mistet omsorgen for barna sine?Vi presenterer vårt panel:Marit Elisabeth Reinertsen fra Familievernkontoret i KristiansandMarianne Fagerheim, erfaringskonsulent fra OBFJenny Marie Gulbrandsen, styreleder OBFSammen tar vi opp spørsmålene om det er gode nok tilbud til foreldrene- og hvor svikter systemet?"
https://program.arendalsuka.no/event/user-view/20047,ArrangørSkolelederforbundet,Arbeidsvilkår for ledere i skolen. Hvordan rekruttere og beholde landets viktigste ledere?,"Om arrangementetHvorfor er det så få som ønsker seg landets viktigste lederjobb? UiA har på oppdrag for Skolelederforbundet gått i gang med et forskningsprosjekt som skal gi et innblikk i denne problemstillingen og anbefale tiltak for å løse rektorkrisen.Rapporten vil bli lagt fram av forskerne først i denne debatten. Deretter vil lokale og nasjonale politikere, representant fra KS, lokale skoleledere og forbundets leder Stig Johannessen debattere konsekvensene av undersøkelsen."
https://program.arendalsuka.no/event/user-view/20048,ArrangørNorges Rederiforbund,Politisk oppspill,Om arrangementetNorges Rederiforbund arrangerer politisk oppspill til partilederdebatten og inviterer et panel med ulik politisk bakgrunn for å diskutere hvor norsk politikk står og tenke høyt rundt hvor man tror valget i september går.Visning av partilederdebatten
https://program.arendalsuka.no/event/user-view/20049,ArrangørNorsk Fjernvarme,Hvordan kan lokal overskuddsenergi avlaste kraftnettet?,"Om arrangementetEnergikommisjonen og Regjeringen viser til hvordan fjernvarme og overskuddsenergi vil spille en viktig rolle for å frigjøre kapasitet i kraftnettet - og det er mye å ta av: Norge bruker årlig over 50 TWh strøm på å holde bygninger varme, samtidig som det finnes store mengder overskuddsenergi som kunne blitt brukt i steden.Vi spør: Hvordan skal Norge få fortgang i å avlaste kraftnettet og hvem har ansvaret for at bygninger skal kunne ta i bruk overskuddsenergi til oppvarming?På møtet får du presentertet samarbeidsprosjekt mellom Eviny og Coast Center Base på Øygarden, hvor overskuddsvarme fra fjorden skal rydde plass til nødvendig elektrifisering i et overbelastet kraftnett.en ny studie fra SINTEF Energi som viser hvor stor effekten er for kraftnettet ved sterkere satsing på vannbåren varme i nye og totalrenoverte bygninger fram til 2030.Og det blir politisk debatt om hva som skal til for å få brukt mer overskuddsenergi til oppvarming - med blant andre statssekretær Elisabeth Sæther (Ap) i Olje- og energidepartementet."
