title,url,date,header,arrangor,medvirkende,om_arrangementet
Klima- og naturhensyn i nullutslippsbyen – er det mulig?,https://www.arendalsuka.no/programsok/details/23776,2024-08-13T12:30,KLIMA- OG NATURHENSYN I NULLUTSLIPPSBYEN – ER DET MULIG?,"Oslo kommune, Bergen kommune, Stavanger kommune, Trondheim kommune","Andreas Bjelland Eriksen (Ap), Klima- og miljøminister
Kristian Dahlberg Hauge (H), Byrådsleder, Trondheim
Sissel Knutsen Hegdal (H), Ordfører, Stavanger
Marit Vea (V), Byråd for miljø og samferdsel, Oslo
Christine Kahrs (H), Byråd for byutvikling, Bergen
Heidi Sørensen, Direktør, Klimaetaten, Oslo kommune
Jane Nilsen Aalhus, Klima- og miljøsjef, Stavanger kommune
Stina Oseland, Direktør, Klimaetaten, Bergen kommune
Anne Reinton, Konstituert direktør for næring, miljø og samferdsel, Trondheim kommune","Storbyene Trondheim, Bergen, Stavanger og Oslo samler seg igjen i Arendal for å debattere utfordringer de står overfor, og utfordre nasjonale myndigheter. De spør Andreas Bjelland Eriksen; Hvordan kan vi ta hensyn til både klima og natur når vi planlegger nullutslippsbyene? Og hvordan sikre at vi har gode verktøy som ser dette i sammenheng - både på nasjonalt og kommunalt nivå? 
Klimaendringene er her allerede. Samtidig forventer vi mer styrtregn, tørke, hetebølger og hyppigere fryse-tine perioder fremover. Derfor blir det stadig viktigere å kunne gjøre avveininger mellom viktige klima- og naturhensyn. Kommunene trenger bedre verktøy for å kunne møte klimautfordringene og samtidig ta vare på naturen når vi planlegger og bygger nullutslippsbyen. Vi må også vite hva vi har av natur for å kunne vite hvordan vi skal forvalte den på best mulig måte, også med tanke på klimatilpasning.
Staten har også nasjonale forventninger til kommunenes arealplanlegging. Det forventes at kommunene tar vare på karbonrike arealer og har en gjennomgående vurdering av klimatilpasning. Samtidig finnes det ingen nasjonal oversikt over karbonrike arealer. Dette gjør det også mer utfordrende for kommunene å planlegge for omstillingen til nullutslippssamfunnet, for eksempel ved utbygging av fornybar energi. Hvordan får vi til dette samtidig som vi skal bevare viktig natur?
Klimautvalget 2050 la i fjor frem sin rapport hvor et hovedbudskap er at klimahensyn må være integrert i alle beslutningsprosesser, og at arealer er en knapp ressurs. Regjeringen vil komme med stortingsmelding for klima og for natur i løpet av 2024. I forkant har relevante fagetater spilt inn at all planlegging og relevante beslutninger bør omfatte tilstrekkelig utredning av klima- og naturhensyn. Storbyene stiller seg bak.  
Staten er i gang med å lage et naturregnskap på nasjonalt nivå som skal være klart innen 2026. Dette regnskapet skal gi bedre oversikt over naturen og godene vi får fra den. Dette er viktig å vite når vi bygger og omstiller oss til nullutslippssamfunnet.
Kom og hør hvordan klimasjefene fra storbyene opplever disse utfordringene i sine byer. Og hvor enige er bypolitikerne og ministeren om veien videre?"
Oslofjorden sliter. Hva skal til for å friskmelde den?,https://www.arendalsuka.no/programsok/details/24092,2024-08-13T12:30,OSLOFJORDEN SLITER. HVA SKAL TIL FOR Å FRISKMELDE DEN?,Norsk institutt for vannforskning (NIVA),"Kjersti Bjørnstad (Sp), statssekretær, KLD
Pål Molander, administrerende direktør, NIVA
Helene Frigstad, seniorforsker, NIVA
Ola Elvestuen (V), stortingsrepresentant, Stortingets Energi- og miljøkomité
Rasmus Hanson (MDG), stortingsrepresentant, Stortingets Næringskomité
Lars Haltbrekken (SV), stortingsrepresentant, Stortingets Energi- og miljøkomité
Olga Marie Brathaug (KrF), politisk rådssekretær, Fylkesrådet i Akershus
Anna Maria Aursund, Direktør i Vann- og avløpsetaten, Oslo kommune
Jessica Hough, rådgiver. marinbiologi, Bellona","På tross av mye engasjement og kunnskap, står det dårlig til med Oslofjorden. 
Norsk institutt for vannforskning (NIVA) samler forvaltning, politikere, næringsliv, miljøvern og forskning til diskusjon om hvordan vi kan få mer liv i fjorden igjen. 
Program
Oslofjordens økologiske tilstand – de siste 30 årenes utvikling
Erfaringer fra Sverige og Danmarks innsats for Skagerrak
Diskusjon:
Hvordan kan vi bruke kunnskapen vår til å redde Oslofjorden?
Kan vi lære noe av nabolandene våre - Sverige og Danmark? 
Hva haster mest?
Ordstyrer: Pål Molander"
Klodebry Live: Etterslepet,https://www.arendalsuka.no/programsok/details/24539,2024-08-13T13:00,KLODEBRY LIVE: ETTERSLEPET,Miljøstiftelsen Bellona,,Norge henger stadig lenger etter i implementeringen av EU-regelverk. Hvordan hindrer vi at vi havner på sidelinjen av det europeiske fellesskapet i klimakampen?
Hvem tar regningen for energieffektiviseringen av den norske boligmassen?,https://www.arendalsuka.no/programsok/details/24274,2024-08-13T13:00,HVEM TAR REGNINGEN FOR ENERGIEFFEKTIVISERINGEN AV DEN NORSKE BOLIGMASSEN?,"Eiendom Norge, Sparebanken Sør, Sørmegeleren","Carsten Phil, Leder for politikk, samfunskontakt og bærekraft, Huseierne
Sigrun Gjerløw Aasland, Statssekretær, Klima- og miljødepartementet
Ingrid Nergaard Fjelstad (V), Stortingskandidat, Hordaland Venstre
Geir Bergskaug, Banksjef, Sparebanken Sør
Henning Lauridsen, Administrerende direktør, Eiendom Norge
Erik Lundesgaard, Sjef for kommunikasjon og politikk, Eiendom N","Hvem tar regningen for energieffektiviseringen av den norske boligmassen?

Norge er gjennom av Parisavtalen forpliktet til betydelig kutt i utslipp av klimagasser. 
Regjeringens mål er at bolig- og eiendomssektorens bidrag til skal være reduksjon i energiforbruk på minst 10Tvh frem 2030.

Hva betyr dette og dette kommende bygningsdirektivet for Norge, norske boligeiere og norske myndigheter?

Og: Kan nordmenn som allerede er verdensmestre i ENØK bli enda bedre?
Og ikke minst: Hvem tar regningen?"
Finansiering av fremtidens klimateknologi,https://www.arendalsuka.no/programsok/details/25358,2024-08-13T13:00,FINANSIERING AV FREMTIDENS KLIMATEKNOLOGI,"Startuplab, Nysnø Klimainvesteringer","Karl Liapunov, Head of Energy, Startuplab
Bertel Ånestad, Investeringsdirektør og CFO, Nysnø
Elise Ivara Dahl, Energy Policy Analyst, Hydro
Tom Even Mortensen, Managing partner, Sandwater VC
Bjørn Brandtzæg, Founder og CEO, PhotonCycle
Toril Nag, Senior Partner, Hitecvision","Utvikling og skalering av klimateknologi er ofte ressurskrevende og kapitalkrevende. Norge har potensialet til å ta en ledende posisjon internasjonalt med å utvikle teknologi for et globalt marked. Hva skal til for å forløse et slik potensiale ?Sammen med gründere, investorer og næringslivet vil disse problemstillingene bli diskutert.
Deltagere og program:
  Innleder 1: Kapitaltilgang til klimateknologi i Norge v/Bertel Ånestad, Nysnø

Elise Ivara Dahl, Energy Policy Analyst, Hydro
Bertel Ånestad, Investeringsdirektør og CFO,  Nysnø
Tom Even Mortensen, Managing partner, Sandwater VC
Bjørn Brandtzæg, Founder og CEO, Photoncycle
Toril Nag, Senior Partner, Hitecvision
Moderator Karl Liapunov, Head of Energy, Startuplab"
Kan offentlig sektors krav om klima- og miljøhensyn forenes med næringslivets arb. med ESG og CSRD,https://www.arendalsuka.no/programsok/details/25476,2024-08-13T13:00,KAN OFFENTLIG SEKTORS KRAV OM KLIMA- OG MILJØHENSYN FORENES MED NÆRINGSLIVETS ARB. MED ESG OG CSRD,Advokatfirmaet Berngaard AS,"Cecilie Wetlesen Borge, Partner, Advokatfirmaet Berngaard AS
Inger Roll-Matthiesen, Partner, Advokatfirmaet Berngaard AS","En tsunami av krav til bærekraftig forretningsdrift krever mye av næringslivet – i endring, måling og rapportering. Mens det er mye fokus på rapportering, er det endring som er målet med Det grønne skiftet. Offentlige oppdragsgivere skal stille krav til klima og miljø i tilnærmet alle offentlige konkurranser. Skal kravene stilles på produktnivå, eller er det leverandøren som driver mest bærekraftig i sin helhet som skal vinne anbud? Og vet det offentlige hvordan de skal forstå informasjonen og kontrollere dokumentasjonen? Må det offentlige lære seg privat virksomhetsstyring? Dette er det verdt å spinne videre om. Velkommen ombord, alle som baler med offentlige anskaffelser; politikere, oppdragsgivere og leverandører. Vi lover tips og triks til alle."
Kan norsk næringsliv bli sirkulært?,https://www.arendalsuka.no/programsok/details/23145,2024-08-13T13:00,KAN NORSK NÆRINGSLIV BLI SIRKULÆRT?,"Amesto, Renas, Econa, Elektroforeningen, CODEX","Christine Lundberg Larsen, Direktør, Amesto Footprint
Camilla Gramstad, Head of Sustainability, Elkjøp Nordic
Sigurd Sagen Vildåsen, Seniorforsker sirkulær økonomi, SINTEF
Tine Granlund, Advokat og partner, Codex Advokater
Kristian Enger, Direktør Strategi, medlem og virksomhetsstyring, NHO
Marte Ulltveit-Moe, Lokalpolitiker i Kristiansand, MDG
Linda Monsen Merkesdal, Stortingspolitiker, Arbeiderpartiet
Marie Loe Halvorsen, Næringspolitisk direktør, EFO
Anniken Aarrestad, Bærekraftsrådgiver, Econa","Transformasjonen til sirkulære forretningsmodeller er en sentral brikke for omstillingen til lavutslippssamfunnet. Omstillingen er for fullt i gang i EU, men foreløpig går det sakte hjemme i Norge.
Hvordan forbereder norsk næringsliv seg? Og hvilke rammebetingelser trenger de fra myndighetene for å lykkes? 
Innledning ved Christine Lundberg Larsen, direktør i Amesto Footprint og medforfatter Regnskap og økonomistyring i sirkulære virksomheter. 
Debatt med eksperter og politikere:
Camilla Gramstad, bærekraftssjef i Elkjøp Nordic og medlem av Klimautvalget 2050
Sigurd Sagen Vildåsen, Seniorforsker sirkulær økonomi, SINTEF
Tine Granlund, Advokat og partner, Codex Advokater
Kristian Enger, Direktør Strategi, medlem og virksomhetsstyring, NHO
Marte Ulltveit-Moe, Lokalpolitiker i Kristiansand, MDG
Linda Monsen Merkesdal, Stortingspolitiker, Arbeiderpartiet
Debatten ledes av Marie Loe Halvorsen, næringspolitisk direktør i Elektroforeningen og Anniken Aarrestad, bærekraftsrådgiver i Econa."
Elektrifisering og kraftkrise: Er energieffektivitet løsningen?,https://www.arendalsuka.no/programsok/details/23685,2024-08-13T13:00,ELEKTRIFISERING OG KRAFTKRISE: ER ENERGIEFFEKTIVITET LØSNINGEN?,ENRX Group,"Bjørn Eldar Petersen, CEO, ENRX
Ingvild Kjerkol, Leder, Stortingets energi- og miljøkomité
Frederic Hauge, Leder, Bellona
Per Øyvind Langeland, Avdelingsdirektør Næringspolitisk avdeling, NHO
Marianne Wergeland Jenssen, Head of Energy Solutions, Hydro Rein
Bård Stranheim, Debattleder, CEO, Powered by Telemark","I møte med nedbygging av fossil energiproduksjon, samtidig med stadig økende energibehov, står verden overfor en eskalerende kraftkrise. Kan nye løsninger for bedre utnyttelse av energi bli en viktig faktor for en bærekraftig fremtid?
Det er særlig elektrifisering av transport og industri som vil føre til en dramatisk økning i etterspørselen etter ren kraft. Selv i energinasjonen Norge kan vi komme til å oppleve underskudd på kraft om få år. Det kan se ut for at den umiddelbare løsningen ligger i å jobbe med det vi har – å utnytte kraften på best mulig måte.
Energieffektivitet handler om å maksimere resultatet med minst mulig bruk av energi, for eksempel ved å effektivisere produksjonsprosesser, forbedre energioverførings-metoder og å redusere energitap. ENRX har stort fokus på innovasjon for å utvikle stadig mer energieffektive produkter."
Kraftunderskudd - Energiøkonomisering bygg,https://www.arendalsuka.no/programsok/details/24340,2024-08-13T13:00,KRAFTUNDERSKUDD - ENERGIØKONOMISERING BYGG,Bygghåndverk Norge,"Stein Erik Lauvås, Politiker (AP), Stortinget
Heidi Nordby Lunde, Politiker (H), Stortinget
Are Tomasgard, LO-sekretær, LO
Åsmund Østvold, Byggmester, Beto-Bygg AS
Robert Steen, Adm. direktør, Bygghåndverk Norge
Frank Ivar Andersen, Debattleder, Bygghåndverk Norge
Andreas Fritzsønn, CEO / Adm. dir., Glava
Kjell Paulsrud, adm.dir./styreleder, Neumann Bygg/Virke Byggevarehandel","Konsekvensene i arbeidslivet av den bredt forankrede økonomiske politikken har i stor utstrekning blitt båret av byggebransjen som opplever etterspørselssvikt, permisjoner og konkurser. Dette i en tid hvor det meste av norsk arbeidsliv går så det suser. Norge strever med å levere på sine klimamål i henhold til Paris-avtalen, Energikommisjonen peker på behovet for mer kraft og energiøkonomisering, og verden er i ferd med å oppgi sitt 1,5 graders mål.
I Brussel forbereder EU strengere krav til energiøkonomiske boliger som vil treffe norske boligeiere kraftfullt i løpet av kort tid. Vi har altså ledig kapasitet i byggebransjen som vi trenger å få sysselsatt, og et behov innenfor energiøkonomisering det må leveres på.
Kan byggenæringen og myndighetene vise at det er mulig å utvikle et norsk kinderegg på tvers av sektorer og politiske saksområder?"
Bør Norge ha en plan for sluttfasen?,https://www.arendalsuka.no/programsok/details/24509,2024-08-13T13:00,BØR NORGE HA EN PLAN FOR SLUTTFASEN?,"Forum for utvikling og miljø (ForUM), Naturvernforbundet, FIVAS-Foreningen for internasjonale vannstudier, WWF- Verdens naturfornd, Besteforeldrenes klimaaksjon (BKA)","Anne Jortveit, Nestleder, Norsk klimastiftelse
Nikolai Astrup, Stortingsrepresentant i Energi- og miljøkomiteen, Høyre
Mani Hussaini, Stortingsrepresentant i Energi- og miljøkomiteen, Arbeiderpartiet
Kine Asper Vistnes, Nestleder, Fellesforbundet
Helene Harsvik Skeibrok, Nestleder, Fagforbundet
Liv Signe Navarsete, Statsforvalter, Statsforvaltaren i Vestland
Truls Gulowsen, Leder, Naturvernforbundet","På vegne av ForUM ønsker vi velkommen til panelsamtale!
Hvordan skal Norge greie å omstille oss vekk fra olje- og gass?
Bør Norge ha en plan for sluttfasen?
I så fall, hva bør en slik utfasingsplan inneholde?
Verden står midt i en klimakrise, og verdens land har akkurat blitt enige om å omstille seg bort fra fossil energi. Også Norge har forpliktet seg internasjonalt til å bidra til at den globale oppvarmingen ikke overstiger 1.5 grader.
I 2023 la Klimautvalget frem sine anbefalinger for hvordan Norge skal bli et lavutslippssamfunn innen 2050. En av anbefalingene var et Norge bør lage en plan for sluttfasen for olje- og gassproduksjonen. Samtidig er holdningen fra de store partiene at olje- og gassektoren bør «utvikles, ikke avvikles». Men er det egentlig mulig å forene norske oljeinteresser med våre internasjonale klimaforpliktelser?
Få med deg panelsamtalen med representanter fra Arbeiderpartiet og Høyre, statsforvalteren og fagforeningen. Anne Jortveit fra Norsk klimastiftelse vil lede samtalen på vegne av ForUM."
Plast-planeten: fra problemer til løsninger,https://www.arendalsuka.no/programsok/details/24039,2024-08-13T13:00,PLAST-PLANETEN: FRA PROBLEMER TIL LØSNINGER,Miljøstiftelsen Bellona,"Marina Hauser, Rådgiver LCA, Miljøstiftelsen Bellona
Gustav Vaaje-Kolstad, Professor bioteknologi, NMBU
Ola Elvestuen, Stortingsrepresentant, Energi og miljøkomiteen, Venstre
Mathilde Tybring-Gjedde, Stortingsrepresentant, Energi og miljøkomiteen, Høyre
Rasmus Hansson, Stortingsrepresentant, Næringskomiteen, MDG
Sverre Myrli, Stortingsrepresentant, Næringskomiteen, Arbeiderpartiet
Tove Andersen, CEO, Tomra","I høsten 2024 vil FNs globale plastavtalen bli ferdigforhandlet, og den skal bidra til å redusere plastforurensing gjennom hele dens livssyklus. Norge leder forhandlingene fra høyambisjonskoalisjonen for å blant annet oppnå miljøvennlig håndtering og resirkulering av plastavfall. Men hvordan håndterer Norge plastproblematikken nasjonalt? Gjør vi nok på hjemmebane for å rettferdiggjøre så store internasjonale ambisjoner?
Bli med på et informativt arrangement som fokuserer på innovative løsninger for å bekjempe plastforurensing og bevege oss mot en mer bærekraftig fremtid. Dette arrangementet vil fremheve flere spennende initiativer, inkludert bruk av enzymer for gjenvinning av vanskelige plasttyper, et nettkurs for bedre plasthåndtering i havbruksnæringen, samt andre relevante initiativer. Arrangementet vil avsluttes med en paneldebatt om Norges rolle i kampen mot plastutfordringen og hvordan vi kan skalere opp disse initiativene til industriskala."
Skittent gull og brennende skoger: Framtidens finanspolitikere om oljefondet,https://www.arendalsuka.no/programsok/details/25634,2024-08-13T13:00,SKITTENT GULL OG BRENNENDE SKOGER: FRAMTIDENS FINANSPOLITIKERE OM OLJEFONDET,"Nordisk Senter for Bærekraftig Finans, Spire","Simen Velle, Leder, FpU
Sondre Hillestad, Sentralstyremedlem, Unge Høyre
Hans Jacob Huun Thomsen, 1. Nestleder, Unge Venstre
Halvard Brundland, Internasjonal leder, Senterungdommen
Fawzi Warsame, Sentralstyremedlem, AUF
Frøya Skjold Sjursæther, Politisk nestleder, Grønn Ungdom
Najma Ahmed, 1. Nestleder, Sosialistisk Ungdom
Amrit Kaur, Leder, Rød Ungdom
Diego Alexander Foss, Rådgiver, Nordisk Senter for Bærekraftig Finans","OBS: Merk at arrangementet er flyttet til Steenhuset, rundt hjørnet fra Barrique

Oljefondet er Norges største fotavtrykk på verden. Vår fremtidige pensjon er investert i nesten 9000 selskaper og hvordan de 18 000 milliarder kronene investeres har en stor påvirkning på verden rundt oss. Hvilke motsetninger ligger det i målet om langsiktig avkastning og ønsket om en bærekraftig fremtid? Hvor etisk og fremtidsrettet er fondet? Og hvordan vil klimaendringene, miljøødeleggelser og geopolitisk uro påvirke fondets fremtid? 

Spire og Nordisk Senter for Bærekraftig Finans ønsker velkommen til debatt med fremtidens finanspolitikere om hvordan avgjørelser i dag påvirker Oljefondets fremtid, og hvordan deres og fremtidens generasjoner ønsker at fondet skal forvaltes. 

Paneldeltakere: 
Amrit Kaur - Leder, Rød Ungdom
Najma Ahmed - 1. Nestleder, Sosialistisk Ungdom
Frøya Skjold Sjursæther - Politisk nestleder, Grønn Ungdom
Fawzi Warsame - Sentralstyremedlem, AUF
Halvard Brundtland - Internasjonal leder, Senterungdommen
Hans Jacob Huun Thomsen - 1. Nestleder, Unge Venstre
Sondre Hillestad - Sentralstyremedlem, Unge Høyre
Simen Velle - Leder, FpU

Ordstyrer: Diego Alexander Foss - Rådgiver, Nordisk Senter for Bærekraftig Finans"
Er Norge et attraktivt land for grønne investeringer?,https://www.arendalsuka.no/programsok/details/25773,2024-08-13T13:00,ER NORGE ET ATTRAKTIVT LAND FOR GRØNNE INVESTERINGER?,"Advokatfirmaet Selmer, Clarksons","Viktor von der Fehr, Managing Director, Clarksons Securities
Ove Gusevik, Senior Partner, Hitecvision
Bård L. Thorheim, Stortingsrepresentant, Energi- og Miljøkomiteen, Høyre
Håkon Sandbekk, Partner og Advokat, Advokatfirmaet Selmer
Harald Dirdal, CEO, Ny Energi
Liv Monica Stubholt, Partner og medlem av Energikommisjonen, Advokatfirmaet Selmer","For å realisere det grønne skiftet, er vi avhengige av betydelige investeringer i grønn energi og dekarbonisering. Skiftet representerer unike muligheter på tvers av industrier, men henger Norge etter sine naboland?
Vi samler ledende eksperter fra industrien og investeringsmiljøer til en diskusjon om utfordringene."
"Prosjektbasert naturregnskap; strategi, erfaringer og – hvor ligger begrensningene?",https://www.arendalsuka.no/programsok/details/25133,2024-08-13T13:00,"PROSJEKTBASERT NATURREGNSKAP; STRATEGI, ERFARINGER OG – HVOR LIGGER BEGRENSNINGENE?",Asplan Viak,"Øistein Schmidt Galaaen, Direktør for produksjon og bærekraft, Fornybar Norge
Heiko Liebel, Naturutreder og oppdragsleder, Asplan Viak
Hilde Røed, Bærekraftsdirektør, Equinor
Ingrid Saunes, Direktør for bærekraft, Hydro Energi
Anne Holten, Kommunalsjef Samfunn, klima og miljø, Nordre Follo kommune","Noen av Norges største industrikonsern og stadig flere norske kommuner velger å lage et regnskap over naturen for å minimere tap av naturareal, ta grep på naturens vegne og kompensere for tapt natur der andre løsninger ikke er mulig.
Vi har samlet aktører fra både kommunal og privat sektor til å snakke om hva prosjektbasert naturegnskap er, driverne som ligger bak ambisjonene, nye målsettinger, hvordan de nå jobber og erfaringer fra praktisk bruk.
Vi får høre fornybarbransjens visjoner, vi lytter til Nordre Follos erfaring med beregning av kompenserende tiltak, og vi får et innblikk i hvordan Hydro og Equinor jobber for å møte internasjonale krav og forventninger innen natur.
Og så stiller vi spørsmålene: Gir ordbruken ‘naturnøytralitet’ eller ‘naturpositivitet’ falske forhåpninger?
Hvilke konsekvenser får det for planleggingen av arealkrevende tiltak, og finnes det grenser for hva slags natur som kan kompenseres for?"
Bergvarme virker best når behovet er størst - Hva hindrer Norge fra å ta det i bruk?,https://www.arendalsuka.no/programsok/details/23949,2024-08-13T13:15,BERGVARME VIRKER BEST NÅR BEHOVET ER STØRST - HVA HINDRER NORGE FRA Å TA DET I BRUK?,"GCE NODE, Geothermal Energy Association of Norway GEAN, Norwegian Research Centre NORCE, Norsk Varmepumpeforening NOVAP","Sigurd Kvammen Rafaelsen, Medlem Energi- og miljøkomiteen (Ap), Stortinget
Sofie Marhaug, Medlem Energi- og miljøkomiteen (R), Stortinget
Marius Arion Nilsen, Medlem Energi- og miljøkomiteen (FrP), Stortinget
Einar Wilhelmsen, Energipolitisk talsperson (MDG)
Rolf Iver Hagemoen, Daglig leder, Norsk Varmepumpeforening (Moderator)
Anders Nermoen, Leder / Seniorforsker, GEAN / NORCE
Randi Kalskin Ramstad, Konsulent / Professor, Asplan Viak / NTNU
Stig Schjølset, Daglig leder, ZERO
Ellen Nordgård-Hansen, Seniorforsker, NORCE
Maren Aschehoug Esmark, Seksjonssjef Energi- og konsesjonsavdelingen, NVE
Elisabeth Bergskaug, Senior kommunikasjonsrådgiver, ZERO (Panelleder)","Dette seminaret med debatt har hovedfokus på hvordan bergvarme kan frigjøre kraft til andre formål samtidig som den enkelte husholdning eller virksomhet får en lavere strømregning. Bergvarme er en verdifull ressurs fordi den gir mest effekt de dagene i året hvor behovet for kraft er størst. Dette er også de dagene hvor strømprisene er på sitt høyeste. Ved å bruke bergvarme fremfor elektrisk oppvarming reduseres behovet for å bygge ut strømnett.
Når bergvarme har så mange fordeler, hvorfor er det ikke mer oppmerksomhet rundt denne energikilden? Hvorfor er det vindkraft, havvind og atomkraft som diskuteres som løsninger for å dekke økt kraftbehov? Hvorfor har Sverige 10 ganger så mye bergvarme som Norge? Hva er barrierene for økt utbredelse av bergvarme i Norge?"
KI + byggebransjen = 20 % kostnads og utslippskutt!,https://www.arendalsuka.no/programsok/details/24131,2024-08-13T13:40,KI + BYGGEBRANSJEN = 20 % KOSTNADS OG UTSLIPPSKUTT!,"Bygg Arena Arendal (BAA) 31 ledende bedrifter og foreninger i bygg, anlegg og eiendomsnæringengen her representert ved:, Norconsult, Skanska Norge, EBA og RIF","Egil Hogna, konsernsjef, Norconsult
Christoffer O. Hernæs, direktør, Skanska Digital
Cathrine Mørch, direktør digitalisering og utvikling, Statsbygg
Beathe Størkson, Consigli
Amund Siem Utne, prosjektdirektør og landskapsarkitekt, Norconsult
Stein Windfeldt, direktør, EBA","Byggenæringen er næringen med størst potensial for effektivisering ved å digitalisere hele verdikjeden. Og et av de viktigste virkemidlene vi har for å spare kostnader og kutte utslipp fra byggeaktiviteten er økt bruk av kunstig intelligens.
Et kutt på 20 % i byggekostnadene her til lands vil spare oss for over 100 milliarder kroner - hvert år. KI vil også bli en viktig driver for å nå de ambisiøse og krevende bærekraftsmålene og våre forpliktelser på veien mot nullutslippssamfunnet. Det digitale og det grønne skiftet henger uløselig sammen. Denne sammenhengen beskrives gjerne med begrepet ""twin transition"", eller ""den doble omstillingen"".
Vi ønsker å knytte seminaret til nettopp denne doble omstillingen. Potensialet for kutt i kostnader og utslipp må konkretiseres, og det må være en politisk målsetning å hente ut disse gevinstene slik at Norges største fastlandsnæring sikres konkurransekraft og attraktivitet.
Sentrale utfordringer vi ønsker å adressere:
NHO har tatt initiativ til et nasjonalt Digitalt krafttak i 2024. Digitaliseringsministeren har bekreftet at regjeringen blir med på satsingen. Byggenæringen må melde seg på i denne overordnede satsingen på digitalisering og bruk av KI. Næringen må selv aktivt fremme løsninger og FOU-prosjekter for å oppnå viktige økonomiske målsetninger (mer for pengene!) og sikre fart i den grønne omstillingen. 
Hvordan kan byggenæringen bli del av løsningen?
Hvor ligger de største utfordringene for å lykkes med KI?
Hvilke føringer kan myndighetene gi som kan gi fortgang i bransjens teknologiutvikling?
Hva kan byggebransjen gjøre for å sette fart på teknologiutviklingen i en silobasert næring?
Målgruppe:
Statsråder, stortingspolitikere og byggenæringen med byggherrer, rådgivere, entreprenører, leverandører og bransjeorganisasjoner. 
Politisk aktualitet:
Norges klimaforpliktelser og dyrtid krever økt effektivisering, og at vi tar i bruk ny teknologi for å skape mer for pengene. Klimaforandringene blir stadig mer synlig. Den doble omstillingen må skje nå.
    Egil Hogna konsernsjef Norconsult
Christoffer O. Hernæs - Skanska Digital
Cathrine Mørch, direktør digitalisering og utvikling, Statsbygg"
Taktskifte for bakkemontert solkraft,https://www.arendalsuka.no/programsok/details/24301,2024-08-13T13:45,TAKTSKIFTE FOR BAKKEMONTERT SOLKRAFT,"Greenstat, Skagerak Energi, Solenergiklyngen","Trine Kopstad Berentsen, Daglig leder, Solenergiklyngen
Kjetil Lund, Vassdrags- og energidirektør, NVE
Jens Bjørn Staff, Konsernsjef, Skagerak Energi
Viel Jaren Heitmann, Prosjektleder, Greenstat
Charly Berthod, Teknisk sjef solkraft, Greenstat
Ingar Dalen, Leder for nettutvikling, Lede
TBA, Larvik kommune","Solkraft kan være en betydelig kilde til ny kraftproduksjon i Norge. Hvordan kan vi få opp farten for å bygge ut bakkemontert solkraft - spesielt på grå arealer? Hva kan myndighetene, politikerne og kraftprodusentene gjøre sammen og enkeltvis? Hvilken erfaring har kommunene og hvilken rolle vil de ha i framtia? Og blir nettet brems eller fasilitator framover?
Greenstat, Skagerak Energi og Solenergiklyngen, inviterer til møtet ""Taktskifte for bakkemontert solkraft"" på Impact Hub under Arendalsuka.
Arrangement blir todelt. Innledere fra Lede, Greenstat, Larvik kommune og NVE og deretter en paneldebatt hvor også Skagerak Energi bidrar + innlederne. Trine Kopstad Berentsen fra Solenergiklyngen er møteleder.
Velkommen!"
Klodebry Live: Solkraft eller matproduksjon?,https://www.arendalsuka.no/programsok/details/24543,2024-08-13T14:00,KLODEBRY LIVE: SOLKRAFT ELLER MATPRODUKSJON?,Miljøstiftelsen Bellona,,"Må vi velge bort matsikkerhet hvis vi vil produsere solkraft på norske gårder? Eller kan det kombineres og gi fordeler i pose og sekk?
Mer info kommer."
Cockpitsamtale med Klimaoptimistene: Hvordan kan digitalisering og KI akselerere energiomstillingen?,https://www.arendalsuka.no/programsok/details/25488,2024-08-13T14:00,COCKPITSAMTALE MED KLIMAOPTIMISTENE: HVORDAN KAN DIGITALISERING OG KI AKSELERERE ENERGIOMSTILLINGEN?,Skift - Næringslivets klimaledere,"Jens Ulltveit-Moe, grunnlegger og styreleder, Umoe
Tommy Bjørnsen, landssjef, DNV Norge
Rolf Skatteboe, president og administrerende direktør, KSAT
Kristine Steidel, dministrerende direktør, Microsoft Norge","Klimaoptimisten Jens Ulltveit-Moe leder samtalen med inviterte toppledere, som også sendes som podkast.
Vi stiller oss i 2050 og ser tilbake på omstillingen av energisektoren, som var avgjørende overgangen til et lavutslippssamfunn. Fremtidens energi er både fornybar og digital, og teknologi spiller en nøkkelrolle i dette. Ved å bruke kunstig intelligens, stordatahåndtering, autonomi og tingenes internett, kan vi skape et energisystem som er mer rettferdig, smartere og tryggere.
For å møte disse utfordringene og utnytte de digitale mulighetene behøver vi samarbeid på tvers av sektorer: 
Hvordan kan teknologi og digitalisering akselerere energiomstillingen?
Hvordan kan vi effektivt integrere ulike fornybare energikilder?
Hvilken rolle spiller digitaliseringen i å forbedre energisystemenes effektivitet?
Et lavutslippssamfunn er mer enn bare et samfunn med lave utslipp – det er et godt, trygt og morsomt samfunn som tar vare på planeten. Norge har en unik mulighet til å lede an i den digitale energirevolusjonen. Ved å kombinere vår ekspertise innen energi med digital teknologi, kan vi utvikle innovative løsninger og skape fremtidens forretningsmodeller.
Framtidens lavutslippssamfunn er noe å glede seg til, og vi vil presentere eksempler som gir grunn til optimisme."
